"anon_screen_name","gender","year_of_birth","level_of_education","country_three_letters","country_name"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","DEU","Germany"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","USA","United States"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","KAZ","Kazakhstan"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","CHE","Switzerland"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","ZZZ","Reserved"
"53317c1573be4aad9a9c74ad0d6acf4797fb838e","m","1974","Masters or professional degree","DEU","Germany"
"53317c1573be4aad9a9c74ad0d6acf4797fb838e","m","1974","Masters or professional degree","GBR","United Kingdom"
"10e0a57a10bdb239d33ba6a7a5d89a8b62734e39","f","1996","Secondary/High School","BRA","Brazil"
"274e7f464467c82a079c24667fe2824fd67f14a3","m","1988","Bachelors","CHN","China"
"274e7f464467c82a079c24667fe2824fd67f14a3","m","1988","Bachelors","USA","United States"
"274e7f464467c82a079c24667fe2824fd67f14a3","m","1988","Bachelors","ZZZ","Reserved"
"274e7f464467c82a079c24667fe2824fd67f14a3","m","1988","Bachelors","JPN","Japan"
"274e7f464467c82a079c24667fe2824fd67f14a3","m","1988","Bachelors","TWN","Taiwan; Republic of China (ROC)"
"78da499d1e6f7b1ccd7ea78d3232a481ad56a607","m","1989","Bachelors","GHA","Ghana"
"a27dc1793f5517cb93fd4588c5eb36b768e02296","m","1991","Masters or professional degree","IRN","Iran (ISLAMIC Republic Of)"
"95edf44ccab58d4ec068236dd9904d202f7defcb","m","1990","Secondary/High School","CAN","Canada"
"530d75cac30aa01b2cd4576603baa94f35ed4643","m","1990","Bachelors","IND","India"
"530d75cac30aa01b2cd4576603baa94f35ed4643","m","1990","Bachelors","CHN","China"
"530d75cac30aa01b2cd4576603baa94f35ed4643","m","1990","Bachelors","USA","United States"
"a6c5ecd64a7dfce7960ea990bd71febf1a729912","m","1993","Secondary/High School","IND","India"
"c5f20f7a99b1700b6d5f22902c3b558e043d8a68","f","1983","Bachelors","NGA","Nigeria"
"3829d0426a81c133958be0b746d2df6ec15c0a09","m","1984","Bachelors","GHA","Ghana"
"3829d0426a81c133958be0b746d2df6ec15c0a09","m","1984","Bachelors","NGA","Nigeria"
"a6ab84d320fa9c4e7345cc5638ae6512fafd7548","m","1993","Secondary/High School","ZAF","South Africa"
"ccd14bc5b4b7bcefeff782b28102b15a3a803ea6","f","1989","Masters or professional degree","BLR","Belarus"
"727e76c411398e8d4225ccec17d0ff9735bd3e6a","m","1995","Secondary/High School","IND","India"
"42f24609c83c2f893af06624ed511b228d550b85","m","1996","Secondary/High School","USA","United States"
"42f24609c83c2f893af06624ed511b228d550b85","m","1996","Secondary/High School","ZZZ","Reserved"
"c5f5a376459fe86e9245a5353a0e1a9992627015","m","1982","Bachelors","NGA","Nigeria"
"c5f5a376459fe86e9245a5353a0e1a9992627015","m","1982","Bachelors","NOR","Norway"
"a0547d50a3fe9454436b45a2897a32c6e2e2993e","f","1964","Masters or professional degree","USA","United States"
"35d4b9466713d465b329cf4ec6025b76e649a2d1","m","1990","Secondary/High School","AUS","Australia"
"35d4b9466713d465b329cf4ec6025b76e649a2d1","m","1990","Secondary/High School","DEU","Germany"
"b5fb8ccf4840fc4d9803539e94557f725896afcf","m","1966","Masters or professional degree","CHE","Switzerland"
"b5fb8ccf4840fc4d9803539e94557f725896afcf","m","1966","Masters or professional degree","GBR","United Kingdom"
"b5fb8ccf4840fc4d9803539e94557f725896afcf","m","1966","Masters or professional degree","OMN","Oman"
"b5fb8ccf4840fc4d9803539e94557f725896afcf","m","1966","Masters or professional degree","GRC","Greece"
"6713f299f47f6a0d2c763648b5f3f789df280b3b","m","1994","Bachelors","KEN","Kenya"
"6713f299f47f6a0d2c763648b5f3f789df280b3b","m","1994","Bachelors","GBR","United Kingdom"
"456a1e8cfa9e8ae6f5a7a4c8cf9c0cd8f9b3f52c","m","1979","Masters or professional degree","ETH","Ethiopia"
"59ca5f19d2c367af58f77f3d13ee059774451206","m","1991","Bachelors","CHN","China"
"59ca5f19d2c367af58f77f3d13ee059774451206","m","1991","Bachelors","HKG","Hong Kong"
"59ca5f19d2c367af58f77f3d13ee059774451206","m","1991","Bachelors","ZZZ","Reserved"
"06186a1b9556baab3070eff9d6fe886b1d36b9bb","m","1982","Masters or professional degree","CHN","China"
"06186a1b9556baab3070eff9d6fe886b1d36b9bb","m","1982","Masters or professional degree","USA","United States"
"06186a1b9556baab3070eff9d6fe886b1d36b9bb","m","1982","Masters or professional degree","ZZZ","Reserved"
"b4af463f2ebff22ecd67a2dabfa283afdb87b562","m","1983","Masters or professional degree","USA","United States"
"b4af463f2ebff22ecd67a2dabfa283afdb87b562","m","1983","Masters or professional degree","CHN","China"
"b4af463f2ebff22ecd67a2dabfa283afdb87b562","m","1983","Masters or professional degree","KOR","Korea Republic of"
"b4af463f2ebff22ecd67a2dabfa283afdb87b562","m","1983","Masters or professional degree","ZZZ","Reserved"
"908e94f6686193a890e14e2727d56ec5b6e0ead0","f","1994","Secondary/High School","AUS","Australia"
"3f2e36334369d99df409fd0ce5ccf828e2afe868","m","1992","Bachelors","IND","India"
"fdb84936b7f6b2cd23668fdf72847fcb899d8807","m","1989","Bachelors","MLI","Mali"
"fdb84936b7f6b2cd23668fdf72847fcb899d8807","m","1989","Bachelors","GBR","United Kingdom"
"fdb84936b7f6b2cd23668fdf72847fcb899d8807","m","1989","Bachelors","BEN","Benin"
"fdb84936b7f6b2cd23668fdf72847fcb899d8807","m","1989","Bachelors","KEN","Kenya"
"ddcc7a16e24eb65de141f297ecaaed40ac1584ed","m","1990","Bachelors","KWT","Kuwait"
"2e5a24050eccd4b4f2125ecf1f9e125e3b40c7af","m","1992","Masters or professional degree","UKR","Ukraine"
"2e5a24050eccd4b4f2125ecf1f9e125e3b40c7af","m","1992","Masters or professional degree","SWE","Sweden"
"2e5a24050eccd4b4f2125ecf1f9e125e3b40c7af","m","1992","Masters or professional degree","CZE","Czech Republic"
"2e5a24050eccd4b4f2125ecf1f9e125e3b40c7af","m","1992","Masters or professional degree","RUS","Russian Federation"
"cb1e48aa4a4e934634a5aff0e1760d0dae4fac3f","f","1989","Bachelors","NOR","Norway"
"8389dc3cbadc6ea28a88dd1c86e6c0bcc475ec40","f","1991","Bachelors","GRC","Greece"
"082de9c799719636918af36022a964ef17e645a2","m","1976","Associates","USA","United States"
"082de9c799719636918af36022a964ef17e645a2","m","1976","Associates","PHL","Philippines"
"23dae6422381c7ab8f162f81b66db162f7e33f86","m","1966","Bachelors","GRC","Greece"
"23dae6422381c7ab8f162f81b66db162f7e33f86","m","1966","Bachelors","FIN","Finland"
"23dae6422381c7ab8f162f81b66db162f7e33f86","m","1966","Bachelors","USA","United States"
"63d3edeb631cb2c14f09ea4a6709f8420d215c25","f","1994","Bachelors","CHN","China"
"52bcd99a82f271ed82e524c9f8c13dac7a327589","m","1983","Bachelors","SAU","Saudi Arabia"
"52bcd99a82f271ed82e524c9f8c13dac7a327589","m","1983","Bachelors","GBR","United Kingdom"
"52bcd99a82f271ed82e524c9f8c13dac7a327589","m","1983","Bachelors","USA","United States"
"52bcd99a82f271ed82e524c9f8c13dac7a327589","m","1983","Bachelors","DNK","Denmark"
"52bcd99a82f271ed82e524c9f8c13dac7a327589","m","1983","Bachelors","EGY","Egypt"
"2fbf34c1ec5e9ef686be4d80c0fa96400ef218db","m","1996","Secondary/High School","IND","India"
"0b0e1b3a8636891d72a95ff5fe5555d44c715d38","m","1993","Bachelors","IND","India"
"0b0e1b3a8636891d72a95ff5fe5555d44c715d38","m","1993","Bachelors","AUS","Australia"
"b9fc0b7760f43fd2e453ca55ccc790ad7f294770","m","1994","Secondary/High School","CHN","China"
"b9fc0b7760f43fd2e453ca55ccc790ad7f294770","m","1994","Secondary/High School","USA","United States"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","AUT","Austria"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","ESP","Spain"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","ITA","Italy"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","GBR","United Kingdom"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","NLD","Netherlands"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","NOR","Norway"
"25437760856d3214407cf2fe45fa68580d46b1bc","m","1951","Masters or professional degree","DEU","Germany"
"b6c8f8649d92ad643570bb8662ad50480d15ee0a","m","1980","Masters or professional degree","MUS","Mauritius"
"fe62926017f740e159b9216bc2b2780cc6734b4a","m","1989","Masters or professional degree","DEU","Germany"
"fe62926017f740e159b9216bc2b2780cc6734b4a","m","1989","Masters or professional degree","FRA","France"
"d64af6a4207dd4d0dc37f2c0e9fb03e9f6d8b07f","m","1973","Masters or professional degree","SVN","Slovenia"
"ff9d019471d562fff0e23af88b6b001b298d6dc5","f","1997","Junior secondary/junior high/middle School","AUS","Australia"
"ff9d019471d562fff0e23af88b6b001b298d6dc5","f","1997","Junior secondary/junior high/middle School","VNM","Viet Nam"
"28370dcf72163591fb8f7a49017a36c70d2dc92a","m","1994","Secondary/High School","IND","India"
"7726edd17dfb4d663374c7cc6a22c332df186a53","f","1965","Bachelors","USA","United States"
"290614787bf6c282d3b6c4258870516c61fdea39","m","1967","Other","USA","United States"
"4c3084f9e930c52fa1a62da9c842bf66783a2ea9","f","1996","Secondary/High School","BRA","Brazil"
"331d598ce227002a65b0c84197425845be25664d","m","1989","Bachelors","IND","India"
"45c56aa7edd7f1198024235e87e45efc1ef285ce","m","1988","Bachelors","TUR","Turkey"
"45c56aa7edd7f1198024235e87e45efc1ef285ce","m","1988","Bachelors","ESP","Spain"
"45c56aa7edd7f1198024235e87e45efc1ef285ce","m","1988","Bachelors","POL","Poland"
"45c56aa7edd7f1198024235e87e45efc1ef285ce","m","1988","Bachelors","USA","United States"
"2a6f92b592f619521a89bd66acf011a5444d2626","m","1991","Bachelors","IND","India"
"2a6f92b592f619521a89bd66acf011a5444d2626","m","1991","Bachelors","CHN","China"
"7b99a472ca2d9b391c7d33049d45291b5ee66352","m","1978","Bachelors","BRA","Brazil"
"107f87b4deff899bdbb43f81995e00a33b14cf14","m","1992","Masters or professional degree","PAK","Pakistan"
"86ce144fce10b9a21b40511fb499acd5501cf4e4","m","1973","Bachelors","USA","United States"
"86ce144fce10b9a21b40511fb499acd5501cf4e4","m","1973","Bachelors","VEN","Venezuela"
"7220ed8b9d9a4ee4a25e8841e415a0d104d8fd08","m","1970","Bachelors","FRA","France"
"7220ed8b9d9a4ee4a25e8841e415a0d104d8fd08","m","1970","Bachelors","EU","European Union"
"7220ed8b9d9a4ee4a25e8841e415a0d104d8fd08","m","1970","Bachelors","GBR","United Kingdom"
"7220ed8b9d9a4ee4a25e8841e415a0d104d8fd08","m","1970","Bachelors","MEX","Mexico"
"436dc0d2b0584158fec592ed94f965cf70367bf3","m","1957","Bachelors","USA","United States"
"25e2f00e714e4d771c8c08093100eb64f82070b5","m","1965","Doctorate","ESP","Spain"
"25e2f00e714e4d771c8c08093100eb64f82070b5","m","1965","Doctorate","TUR","Turkey"
"92dc3c5118ab1d9beab853af201935b583bc6a68","m","1989","Bachelors","USA","United States"
"804b249e5013de1cf3bcd6c370672c8820d1a396","m","1990","Bachelors","IND","India"
"3be6733e40ed703d58ff26b045a02b95a9a7a377","m","1996","Junior secondary/junior high/middle School","ESP","Spain"
"3be6733e40ed703d58ff26b045a02b95a9a7a377","m","1996","Junior secondary/junior high/middle School","GBR","United Kingdom"
"3be6733e40ed703d58ff26b045a02b95a9a7a377","m","1996","Junior secondary/junior high/middle School","AUT","Austria"
"3be6733e40ed703d58ff26b045a02b95a9a7a377","m","1996","Junior secondary/junior high/middle School","ITA","Italy"
"9beb76d3f7720226acce288ab47181b61c42ebd6","m","1987","Masters or professional degree","USA","United States"
"9beb76d3f7720226acce288ab47181b61c42ebd6","m","1987","Masters or professional degree","CHN","China"
"88f4e1c6bdf05e89e7749edc71a7193e8863fafc","m","1993","Bachelors","EGY","Egypt"
"1035d51fdd421052f7c84355eb5d6ba19d886fd8","f","1974","Masters or professional degree","USA","United States"
"30fd503eeb9d8016c23802cdba229d31630d3335","m","1991","Masters or professional degree","USA","United States"
"fd851e5e82afa002a15910d8fab1208bf0a2fc5c","m","1984","Masters or professional degree","ESP","Spain"
"c4c7ce17295ae1d597406592d02bacf40a099065","m","1991","Bachelors","IND","India"
"c4c7ce17295ae1d597406592d02bacf40a099065","m","1991","Bachelors","USA","United States"
"b13e32d1d42d17677a386cd79b32f686b59b2338","m","1993","Secondary/High School","IND","India"
"e772ec9fb5e5c595d3dc5dd72fe5a10ab2ddf4fe","f","1992","Bachelors","UKR","Ukraine"
"e772ec9fb5e5c595d3dc5dd72fe5a10ab2ddf4fe","f","1992","Bachelors","RUS","Russian Federation"
"8af540d554c26662a70b184843352c3fcea9ee02","m","1990","Doctorate","USA","United States"
"6b700a077e28e33148b65e33f2f8ca359052e9b8","m","1983","Bachelors","ROM","Romania"
"6b700a077e28e33148b65e33f2f8ca359052e9b8","m","1983","Bachelors","FRA","France"
"6b700a077e28e33148b65e33f2f8ca359052e9b8","m","1983","Bachelors","ITA","Italy"
"6b700a077e28e33148b65e33f2f8ca359052e9b8","m","1983","Bachelors","AUT","Austria"
"6b700a077e28e33148b65e33f2f8ca359052e9b8","m","1983","Bachelors","EST","Estonia"
"744884563a2819f4594af2b18f0a9a27126e507d","m","1977","Masters or professional degree","BRA","Brazil"
"d8a0040599e2b84b4215be8dbf46fa9c680bd1c9","m","1986","Masters or professional degree","TUN","Tunisia"
"d8a0040599e2b84b4215be8dbf46fa9c680bd1c9","m","1986","Masters or professional degree","EGY","Egypt"
"d8a0040599e2b84b4215be8dbf46fa9c680bd1c9","m","1986","Masters or professional degree","USA","United States"
"d8a0040599e2b84b4215be8dbf46fa9c680bd1c9","m","1986","Masters or professional degree","FRA","France"
"e1b1ef48e5aede9fdd76c8dd31d7579d1f87c82b","f","1988","Secondary/High School","GHA","Ghana"
"505e2902bd223d39711e3a3b30c45a489ec1309a","m","1987","Masters or professional degree","USA","United States"
"bbdf08543603e5be77db05553a02d8429f07692d","m","1977","Doctorate","JPN","Japan"
"bbdf08543603e5be77db05553a02d8429f07692d","m","1977","Doctorate","IND","India"
"bbdf08543603e5be77db05553a02d8429f07692d","m","1977","Doctorate","USA","United States"
"e22fecc1dfbcf34b1e93ebee000efe541b70852b","m","1978","Bachelors","CHN","China"
"e22fecc1dfbcf34b1e93ebee000efe541b70852b","m","1978","Bachelors","PHL","Philippines"
"8ea51b7cf4de144a7f29eb00b93a43eaa86e68de","m","1987","Masters or professional degree","COL","Colombia"
"88468b34c72a466bbba05752b7fdb0a3c2f542fa","f","1990","Bachelors","USA","United States"
"e81e203b1217b73d88fb55b381e81e375aeaad38","m","1987","Bachelors","USA","United States"
"353ebde5ca10c0be133ee5c8ccf02ab38074074f","f","1976","Bachelors","NZL","New Zealand"
"e619d50637a79d9e296d6838f8134773eb08c1fe","m","1987","Secondary/High School","PRT","Portugal"
"e619d50637a79d9e296d6838f8134773eb08c1fe","m","1987","Secondary/High School","SVK","Slovakia (SLOVAK Republic)"
"c4e2f128b3d4ca2d41d076b67e197af7fa1bfb3a","f","1977","Secondary/High School","COL","Colombia"
"8dd23a2ce87ac2f333bc6bf5d9fd065b0fec4ff3","m","1975","Bachelors","JPN","Japan"
"8dd23a2ce87ac2f333bc6bf5d9fd065b0fec4ff3","m","1975","Bachelors","CHN","China"
"8dd23a2ce87ac2f333bc6bf5d9fd065b0fec4ff3","m","1975","Bachelors","KOR","Korea Republic of"
"2c8e6e655320471d074f54e1c741ca00116e4515","m","1951","Masters or professional degree","USA","United States"
"2c8e6e655320471d074f54e1c741ca00116e4515","m","1951","Masters or professional degree","ZZZ","Reserved"
"626ccbf6bd6d967f2b41a1aaa23ce5681e8f72c4","m","1984","Bachelors","SGP","Singapore"
"57b82e80a67cc880c14209221a51b30b6064b057","m","1990","Bachelors","USA","United States"
"f68fe17ef8f4c6481477755ff62b12e5946132fd","m","1989","Associates","IND","India"
"84d449b38cb82a5e8f4d9c6023871778e434577c","m","1993","Secondary/High School","COL","Colombia"
"adb0ecb0e9f83032cd641293ce5303a914e02ca0","m","1967","Masters or professional degree","USA","United States"
"adb0ecb0e9f83032cd641293ce5303a914e02ca0","m","1967","Masters or professional degree","AUS","Australia"
"3177c5f4ee0480230ca3e1e99278a3bffbd8dbce","f","1991","Bachelors","IND","India"
"3177c5f4ee0480230ca3e1e99278a3bffbd8dbce","f","1991","Bachelors","SGP","Singapore"
"550365cba8f8f86d69ec8f82ac1fe51b397d10f4","m","1978","Bachelors","CZE","Czech Republic"
"c7e0403d083f650865ba492d163bb657b61f9b74","f","1992","Bachelors","CHN","China"
"4cab194ef8b12c362be0cdb84143e55493450560","m","1995","Secondary/High School","IND","India"
"2b813051176b1eecfeeb2e6c8f48eb7f31cc6a00","m","1973","Masters or professional degree","IND","India"
"2b813051176b1eecfeeb2e6c8f48eb7f31cc6a00","m","1973","Masters or professional degree","CHN","China"
"3f1966e2ac181698e69259efdce840eccb99f351","",\N,"User withheld","AUT","Austria"
"7d49bcd4fecc5c16d86dabeb55a7ac7380d16dd9","m","1974","Masters or professional degree","FRA","France"
"7d49bcd4fecc5c16d86dabeb55a7ac7380d16dd9","m","1974","Masters or professional degree","ITA","Italy"
"7d49bcd4fecc5c16d86dabeb55a7ac7380d16dd9","m","1974","Masters or professional degree","ZZZ","Reserved"
"c3687e2322affc99f0c69bb018d39ec737554244","m","1989","Bachelors","TWN","Taiwan; Republic of China (ROC)"
"8774354dca258f4473942fdb75a5483edd4ee752","f","1983","Masters or professional degree","NGA","Nigeria"
"438518395074d949517042272b3b41a4d96c736e","m","1971","Masters or professional degree","TUR","Turkey"
"438518395074d949517042272b3b41a4d96c736e","m","1971","Masters or professional degree","ESP","Spain"
"a94fd22972874e947da5ba0b43ae53f83c0ec07a","f","1981","Masters or professional degree","USA","United States"
"f4286776b69b61293be4d253394a208f142f8a1e","m",\N,"Masters or professional degree","GBR","United Kingdom"
"f4286776b69b61293be4d253394a208f142f8a1e","m",\N,"Masters or professional degree","FRA","France"
"abca0819d95338e802efd146488f3723dab3ef71","m","1983","Masters or professional degree","IND","India"
"c9ed0db6bf632877d60662a0a886e70b8fe969f3","m","1986","Masters or professional degree","DNK","Denmark"
"c9ed0db6bf632877d60662a0a886e70b8fe969f3","m","1986","Masters or professional degree","BEL","Belgium"
"c9ed0db6bf632877d60662a0a886e70b8fe969f3","m","1986","Masters or professional degree","USA","United States"
"c9ed0db6bf632877d60662a0a886e70b8fe969f3","m","1986","Masters or professional degree","NLD","Netherlands"
"c9ed0db6bf632877d60662a0a886e70b8fe969f3","m","1986","Masters or professional degree","GBR","United Kingdom"
"c9ed0db6bf632877d60662a0a886e70b8fe969f3","m","1986","Masters or professional degree","DEU","Germany"
"06e3b6019397712fb2123e81348f9d56ffd8da1e","",\N,"User withheld","CHN","China"
"06e3b6019397712fb2123e81348f9d56ffd8da1e","",\N,"User withheld","USA","United States"
"06e3b6019397712fb2123e81348f9d56ffd8da1e","",\N,"User withheld","ZZZ","Reserved"
"0775b2f5bc2db9c9a97aab8d9decf29c0edf1c6b","f","1978","Associates","HKG","Hong Kong"
"e00afb5d83ba7d5976ccefa4fb136ada19aa3859","m","1995","Secondary/High School","IND","India"
"d2a5d30ddf44b74efdb74712271cd273607e49c0","m","1991","Bachelors","LBY","Libyan Arab Jamahiriya"
"d2a5d30ddf44b74efdb74712271cd273607e49c0","m","1991","Bachelors","FRA","France"
"d2a5d30ddf44b74efdb74712271cd273607e49c0","m","1991","Bachelors","USA","United States"
"d2a5d30ddf44b74efdb74712271cd273607e49c0","m","1991","Bachelors","SYC","Seychelles"
"1eb0d765f9f2c631356b0c41c0651b3f6d22d926","m","1967","Bachelors","BRA","Brazil"
"4a2a4ce3feabf1a630f9e5a796d2415960506d05","m","1983","Masters or professional degree","USA","United States"
"929dd6b1f480b366882135ac48c4e162c193ce81","m","1987","Masters or professional degree","MRT","Mauritania"
"c909ec0373315012633c5e2f43bf8751c6de78de","m","1985","Masters or professional degree","FRA","France"
"6bdd30cc83973f8e05c303221b646c2f09307918","m","1988","Bachelors","USA","United States"
"c7737278adb8db00db6d69b121b876a91733d134","m","1990","Secondary/High School","COL","Colombia"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","USA","United States"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","LUX","Luxembourg"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","DEU","Germany"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","CAN","Canada"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","NLD","Netherlands"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","IRN","Iran (ISLAMIC Republic Of)"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","GBR","United Kingdom"
"5df8bf6bb274c56001721e8a5e8256a0a4bd4751","f","1986","Masters or professional degree","ROM","Romania"
"8b41f5be6351de6b16f60ce7872df1d1031ea97f","m","1997","Secondary/High School","USA","United States"
"fdeb4bedd3ff6b6670c0c00f4a6647fa872d7b0f","",\N,"Secondary/High School","IND","India"
"fdeb4bedd3ff6b6670c0c00f4a6647fa872d7b0f","",\N,"Secondary/High School","ZZZ","Reserved"
"1e324aa16b6f5b17da519235e1a8fd3eae41748a","f","1986","Masters or professional degree","GBR","United Kingdom"
"2a665662a90e12311a731c794f6bde47ae139997","f","1974","Bachelors","USA","United States"
"0fa5a36b4464779793f169ae3aa09b5d5c085556","m","1993","Secondary/High School","IND","India"
"0fa5a36b4464779793f169ae3aa09b5d5c085556","m","1993","Secondary/High School","CHN","China"
"6ede01bce3b4c1c1b26f55707dbc9255246092e4","m","1991","Bachelors","IND","India"
"711d9b2ed53bf8aadd0a802bf33a6c4865774192","m","1988","Masters or professional degree","PAK","Pakistan"
"711d9b2ed53bf8aadd0a802bf33a6c4865774192","m","1988","Masters or professional degree","USA","United States"
"13807aaee290a1b4c801cde29a01e2e807034aee","m","1976","Bachelors","USA","United States"
"13807aaee290a1b4c801cde29a01e2e807034aee","m","1976","Bachelors","MEX","Mexico"
"5de88150f4a4b7697c8c3ae9ebe6357ef700f714","f","1967","Bachelors","PRY","Paraguay"
"fff94130d1b1d6d85b1dd6da3679fee562f634c9","m","1987","Bachelors","GBR","United Kingdom"
"fff94130d1b1d6d85b1dd6da3679fee562f634c9","m","1987","Bachelors","SWE","Sweden"
"fff94130d1b1d6d85b1dd6da3679fee562f634c9","m","1987","Bachelors","DNK","Denmark"
"fff94130d1b1d6d85b1dd6da3679fee562f634c9","m","1987","Bachelors","ITA","Italy"
"fff94130d1b1d6d85b1dd6da3679fee562f634c9","m","1987","Bachelors","DEU","Germany"
"fff94130d1b1d6d85b1dd6da3679fee562f634c9","m","1987","Bachelors","POL","Poland"
"85b99696d21c8692b39e6452422388756df3966d","m","1986","Secondary/High School","ZZZ","Reserved"
"e12b607158602503766bb2000bb55607378790f3","m","1987","Doctorate","USA","United States"
"0aaee8e27193a0db8bcd1594815e474e170956b8","",\N,"User withheld","GBR","United Kingdom"
"0aaee8e27193a0db8bcd1594815e474e170956b8","",\N,"User withheld","SWE","Sweden"
"0aaee8e27193a0db8bcd1594815e474e170956b8","",\N,"User withheld","DNK","Denmark"
"0aaee8e27193a0db8bcd1594815e474e170956b8","",\N,"User withheld","AUS","Australia"
"4d8a8f3c16f6165e1d8fec63cfdaf595a7f59fb5","f","1994","Secondary/High School","SGP","Singapore"
"acf4a39e0a9aa104f1cd3fa6578510afd1e6e043","m","1988","Masters or professional degree","USA","United States"
"2f7d78d13a15e6c38e1758913f57479fb7ea276f","m","1991","Bachelors","IND","India"
"33269679552def3ffeedcf5f327dd42ca8fb919f","m","1989","Masters or professional degree","PAK","Pakistan"
"b4156c56fb20f3728e74c14a8874c62c00feefab","",\N,"Secondary/High School","USA","United States"
"f76872915fcde4c58ca2fb4a02b486ee46a6d05d","f","1990","Bachelors","CAN","Canada"
"02a9d4267b700cd64742aca929a400d8ea6d4f01","m","1970","Doctorate","USA","United States"
"bf43ba19c1d2246281b089deb7690015f05d9fc6","m","1983","Doctorate","DZA","Algeria"
"bf43ba19c1d2246281b089deb7690015f05d9fc6","m","1983","Doctorate","FRA","France"
"bf43ba19c1d2246281b089deb7690015f05d9fc6","m","1983","Doctorate","ZAF","South Africa"
"bf43ba19c1d2246281b089deb7690015f05d9fc6","m","1983","Doctorate","ITA","Italy"
"bf43ba19c1d2246281b089deb7690015f05d9fc6","m","1983","Doctorate","TUR","Turkey"
"2a38c7d9507e69b7448946c946f706f39844326e","m","1976","Bachelors","PAK","Pakistan"
"9cdcb55d6881f92e2b2da96fe3d601efec2c1b53","f","1991","Bachelors","USA","United States"
"4713662608f2f349448960b734f2bebd5697c941","f","1988","Bachelors","SWE","Sweden"
"4713662608f2f349448960b734f2bebd5697c941","f","1988","Bachelors","GBR","United Kingdom"
"4713662608f2f349448960b734f2bebd5697c941","f","1988","Bachelors","NLD","Netherlands"
"4713662608f2f349448960b734f2bebd5697c941","f","1988","Bachelors","FRA","France"
