,anon_screen_name,resource_display_name,module_id,activity_grade_id,first_submit,last_submit,module_type,Module,Week ,Act,Finalgrade,FinalScore
49,2ad1dc8d861a732e45fe4a51b8f821755f6a28f3,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21906190,25/06/2014 11:41,10/03/2015 7:25,video,The Basic Core of Economics,Week-1,L1,0.03,Fail
51,2ad1dc8d861a732e45fe4a51b8f821755f6a28f3,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43460035,9/03/2015 18:10,9/03/2015 18:10,problem,The Basic Core of Economics,Week-1,P-8 ,0.03,Fail
88,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43337061,8/03/2015 0:01,9/03/2015 21:11,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
90,80cc97569b7013733bee39d047005d0c22e6970b,Lecture: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/video/07f95e4404d74f16926b8ccd4aff7016,43337188,8/03/2015 0:02,8/03/2015 0:02,video,The Basic Core of Economics,Week-1,L4,0.0,Fail
91,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43337059,8/03/2015 0:01,9/03/2015 21:06,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
92,80cc97569b7013733bee39d047005d0c22e6970b,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,43336405,7/03/2015 23:53,7/03/2015 23:59,video,The Basic Core of Economics,Week-1,L1,0.0,Fail
94,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,43336346,7/03/2015 23:52,8/03/2015 0:00,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
95,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,43336345,7/03/2015 23:52,7/03/2015 23:59,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
96,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43337056,8/03/2015 0:01,9/03/2015 21:03,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
97,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,43336347,7/03/2015 23:52,8/03/2015 0:00,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
98,80cc97569b7013733bee39d047005d0c22e6970b,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43337060,8/03/2015 0:01,9/03/2015 21:13,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
136,841306e19077360f4ea438d12e189987822a17fa,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43487296,10/03/2015 1:50,10/03/2015 1:50,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
138,841306e19077360f4ea438d12e189987822a17fa,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43487113,10/03/2015 1:45,10/03/2015 1:45,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
140,841306e19077360f4ea438d12e189987822a17fa,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,43447225,9/03/2015 15:12,9/03/2015 15:12,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
141,841306e19077360f4ea438d12e189987822a17fa,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,43447224,9/03/2015 15:12,9/03/2015 15:12,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
142,841306e19077360f4ea438d12e189987822a17fa,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43447265,9/03/2015 15:13,9/03/2015 15:13,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
143,841306e19077360f4ea438d12e189987822a17fa,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,43447226,9/03/2015 15:12,9/03/2015 15:12,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
144,841306e19077360f4ea438d12e189987822a17fa,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43487297,10/03/2015 1:50,10/03/2015 1:50,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
164,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43499242,10/03/2015 6:32,11/03/2015 14:41,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
166,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Lecture: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/video/07f95e4404d74f16926b8ccd4aff7016,43494191,10/03/2015 4:23,10/03/2015 4:43,video,The Basic Core of Economics,Week-1,L4,0.0,Fail
167,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Lecture: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/video/07f95e4404d74f16926b8ccd4aff7016,43494191,10/03/2015 4:23,16/03/2016 19:32,video,The Basic Core of Economics,Week-1,L4,0.0,Fail
168,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43498138,10/03/2015 6:00,11/03/2015 3:31,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
169,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43498138,10/03/2015 6:00,2/07/2015 20:39,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
170,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21744674,24/06/2014 5:10,9/03/2015 23:25,video,The Basic Core of Economics,Week-1,L1,0.0,Fail
173,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,21744464,24/06/2014 5:05,9/03/2015 23:45,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
174,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,21744463,24/06/2014 5:05,9/03/2015 23:46,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
175,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43493967,10/03/2015 4:20,10/03/2015 22:48,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
176,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,21744465,24/06/2014 5:05,10/03/2015 4:16,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
177,7f3c6e9e5981fcb61bc6d705ec5a60e43e938d57,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43499243,10/03/2015 6:32,11/03/2015 19:25,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
256,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43910028,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
258,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43910026,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
259,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,43910021,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
260,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,43910022,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
261,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43910023,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
262,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,43910020,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
263,44d1fa0033f4cfe0b63700984e3bf149fac4bf41,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43910027,15/03/2015 15:01,15/03/2015 15:01,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
300,23350d1ee30fcaba1032d4c6fea6244a8bc45b3d,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43501592,10/03/2015 7:37,18/03/2015 2:33,problem,The Basic Core of Economics,Week-1,P-7 ,0.03,Fail
301,23350d1ee30fcaba1032d4c6fea6244a8bc45b3d,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43501593,10/03/2015 7:37,25/03/2015 21:41,problem,The Basic Core of Economics,Week-1,P-8 ,0.03,Fail
306,048219c8cb0b22aef89760155546b73374300e7c,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,44591212,25/03/2015 0:15,25/03/2015 0:15,problem,The Basic Core of Economics,Week-1,P-7 ,0.02,Fail
308,048219c8cb0b22aef89760155546b73374300e7c,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,44591210,25/03/2015 0:15,25/03/2015 0:15,problem,The Basic Core of Economics,Week-1,P-5 ,0.02,Fail
309,048219c8cb0b22aef89760155546b73374300e7c,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,24408361,29/07/2014 17:16,25/03/2015 0:10,video,The Basic Core of Economics,Week-1,L1,0.02,Fail
311,048219c8cb0b22aef89760155546b73374300e7c,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,44591207,25/03/2015 0:15,25/03/2015 0:15,problem,The Basic Core of Economics,Week-1,P-4,0.02,Fail
312,048219c8cb0b22aef89760155546b73374300e7c,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,44591211,25/03/2015 0:15,25/03/2015 0:15,problem,The Basic Core of Economics,Week-1,P-8 ,0.02,Fail
349,b769005b474698eb3be0db9c01459a44812f360d,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,45158352,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
351,b769005b474698eb3be0db9c01459a44812f360d,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,45158350,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
353,b769005b474698eb3be0db9c01459a44812f360d,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,45158343,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
354,b769005b474698eb3be0db9c01459a44812f360d,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,45158345,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
355,b769005b474698eb3be0db9c01459a44812f360d,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,45158347,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
356,b769005b474698eb3be0db9c01459a44812f360d,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,45158341,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
357,b769005b474698eb3be0db9c01459a44812f360d,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,45158351,1/04/2015 4:53,1/04/2015 4:53,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
394,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,45811447,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
396,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,45811445,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
398,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,45811440,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
399,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,45811441,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
400,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,45811442,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
401,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,45811439,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
402,7c54e232b43018e55b951eecb77932ef39cde8cf,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,45811446,7/04/2015 16:25,7/04/2015 16:25,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
439,ef4f42fa320c2b01f6dfc04a4929e744a3d23e5b,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,46899921,25/04/2015 22:44,25/04/2015 22:44,problem,The Basic Core of Economics,Week-1,P-7 ,0.02,Fail
441,ef4f42fa320c2b01f6dfc04a4929e744a3d23e5b,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,46899919,25/04/2015 22:44,25/04/2015 22:44,problem,The Basic Core of Economics,Week-1,P-5 ,0.02,Fail
442,ef4f42fa320c2b01f6dfc04a4929e744a3d23e5b,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,46899920,25/04/2015 22:44,25/04/2015 22:44,problem,The Basic Core of Economics,Week-1,P-8 ,0.02,Fail
479,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,47216125,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
481,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,47216123,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
483,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,47216118,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
484,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,47216119,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
485,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,47216120,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
486,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,47216117,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
487,af2b0290eb8c9a06bdb67c6711eae3727cb5b5c9,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,47216124,1/05/2015 4:20,1/05/2015 4:20,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
524,53bd309b77b74d478f4b4173c4f56f9bf45c05f1,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,47451241,3/05/2015 2:53,3/05/2015 2:53,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
526,53bd309b77b74d478f4b4173c4f56f9bf45c05f1,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,47451239,3/05/2015 2:53,3/05/2015 2:53,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
527,53bd309b77b74d478f4b4173c4f56f9bf45c05f1,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,26936998,3/09/2014 3:38,8/05/2015 14:54,video,The Basic Core of Economics,Week-1,L1,0.0,Fail
529,53bd309b77b74d478f4b4173c4f56f9bf45c05f1,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,47451240,3/05/2015 2:53,3/05/2015 2:53,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
566,e03651ce0b5101b561424aa7b53a07409abde62d,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,22296670,30/06/2014 23:34,18/05/2015 18:34,problem,The Basic Core of Economics,Week-1,P-7 ,0.16,Fail
567,e03651ce0b5101b561424aa7b53a07409abde62d,Lecture: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/video/07f95e4404d74f16926b8ccd4aff7016,22038516,27/06/2014 2:44,5/05/2015 22:52,video,The Basic Core of Economics,Week-1,L4,0.16,Fail
568,e03651ce0b5101b561424aa7b53a07409abde62d,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,22089131,27/06/2014 21:51,8/05/2015 23:39,problem,The Basic Core of Economics,Week-1,P-5 ,0.16,Fail
569,e03651ce0b5101b561424aa7b53a07409abde62d,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21820484,24/06/2014 18:45,1/05/2015 19:37,video,The Basic Core of Economics,Week-1,L1,0.16,Fail
570,e03651ce0b5101b561424aa7b53a07409abde62d,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,21820171,24/06/2014 18:42,2/05/2015 20:58,problem,The Basic Core of Economics,Week-1,P-2,0.16,Fail
571,e03651ce0b5101b561424aa7b53a07409abde62d,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,21820170,24/06/2014 18:42,1/05/2015 19:36,problem,The Basic Core of Economics,Week-1,P-1 ,0.16,Fail
581,7fad81897916c4ea9213532ae1ed6ed0bbdbde1c,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,48796408,23/05/2015 6:13,23/05/2015 6:13,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
583,7fad81897916c4ea9213532ae1ed6ed0bbdbde1c,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,48796406,23/05/2015 6:13,23/05/2015 6:13,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
585,7fad81897916c4ea9213532ae1ed6ed0bbdbde1c,Quiz: The Central Idea,i4x://HumanitiesSciences/Econ-1/problem/a00df886c61d4a9bb44e3a506f661838,48796401,23/05/2015 6:13,23/05/2015 6:13,problem,The Basic Core of Economics,Week-1,P-2,0.0,Fail
586,7fad81897916c4ea9213532ae1ed6ed0bbdbde1c,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,48796402,23/05/2015 6:13,23/05/2015 6:13,problem,The Basic Core of Economics,Week-1,P-1 ,0.0,Fail
587,7fad81897916c4ea9213532ae1ed6ed0bbdbde1c,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,48796403,23/05/2015 6:13,23/05/2015 6:13,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
588,7fad81897916c4ea9213532ae1ed6ed0bbdbde1c,Quiz: Production Possibilities and Economic Growth,i4x://HumanitiesSciences/Econ-1/problem/be25ebd75de9488fa0a39d51b267ec47,48796400,23/05/2015 6:13,23/05/2015 6:13,problem,The Basic Core of Economics,Week-1,P-3 ,0.0,Fail
