,anon_screen_name,resource_display_name,module_id,activity_grade_id,first_submit,last_submit,module_type,Module,Week ,Act,Finalgrade,FinalScore
2347,2132a9e54b6c234b84de60937605641cae95fa45,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21826305,24/06/2014 19:29,21/08/2015 1:10,video,The Basic Core of Economics,Week-1,L1,0.91,Pass
2348,2132a9e54b6c234b84de60937605641cae95fa45,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21826305,24/06/2014 19:29,4/09/2015 6:47,video,The Basic Core of Economics,Week-1,L1,0.91,Pass
2435,b7ae3550fd6f1c2ca118cabbd459b81e252c9169,Quiz: Are Competitive Markets Efficient?,i4x://HumanitiesSciences/Econ-1/problem/512c30e072234487bf280f68be30685b,23892109,22/07/2014 17:34,29/03/2015 7:52,problem,The Competitive Equilibrium Model,Week-2,P-13 ,0.94,Pass
2443,317549879fe672209ae9adc05067da85f3f7c8bb,Quiz: Are Competitive Markets Efficient?,i4x://HumanitiesSciences/Econ-1/problem/512c30e072234487bf280f68be30685b,22282203,30/06/2014 22:15,5/07/2015 20:24,problem,The Competitive Equilibrium Model,Week-2,P-13 ,0.94,Pass
2444,317549879fe672209ae9adc05067da85f3f7c8bb,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,21794834,24/06/2014 15:44,23/06/2015 0:31,problem,The Basic Core of Economics,Week-1,P-1 ,0.94,Pass
2445,317549879fe672209ae9adc05067da85f3f7c8bb,Quiz: Derivation of the Demand Curve,i4x://HumanitiesSciences/Econ-1/problem/ecf5450bd8624179a0ea947bfb5dd5ba,22282200,30/06/2014 22:15,1/07/2015 18:06,problem,The Competitive Equilibrium Model,Week-2,P-9,0.94,Pass
2446,317549879fe672209ae9adc05067da85f3f7c8bb,Lecture: Marginal Benefit and Consumer Surplus,i4x://HumanitiesSciences/Econ-1/video/83ca9e8088db48cd95e2866a1b0474a4,22428097,1/07/2014 15:34,1/07/2015 18:07,video,The Competitive Equilibrium Model ,Week-2,L10,0.94,Pass
2509,9e7d83b3b8c6a3a9bc057edd8e7326f1028fff41,Quiz: Are Competitive Markets Efficient?,i4x://HumanitiesSciences/Econ-1/problem/512c30e072234487bf280f68be30685b,22406227,1/07/2014 13:13,26/08/2015 8:15,problem,The Competitive Equilibrium Model,Week-2,P-13 ,0.91,Pass
2571,8119dfb42a0fbf900752d2f39bf890b3378ccfea,Quiz: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/problem/825551be42d54bfb8e9bf4dad0398d19,21784609,24/06/2014 14:31,1/08/2015 16:32,problem,The Basic Core of Economics,Week-1,P-1 ,0.94,Pass
2601,e11b550e29fd256ed9fe32d68633f2cc383aaecf,Quiz on 10A,i4x://HumanitiesSciences/Econ-1/problem/d5bfed1c06c8437ca19a85de09dd60c3,23260943,14/07/2014 3:41,30/04/2015 4:47,problem,Deviations from Competition,Week-3,P-18 ,0.94,Pass
2604,a05ea65c777e48abdfc60668a2e01d404d745730,Quiz on 10A,i4x://HumanitiesSciences/Econ-1/problem/d5bfed1c06c8437ca19a85de09dd60c3,22910052,7/07/2014 21:37,19/07/2015 16:06,problem,Deviations from Competition,Week-3,P-18 ,0.99,Pass
2605,a05ea65c777e48abdfc60668a2e01d404d745730,Quiz: The Spending Allocation Model,i4x://HumanitiesSciences/Econ-1/problem/0544ffdbed7b41b5ae69fd3232b12d9f,24714592,3/08/2014 10:09,3/09/2015 18:51,problem,Long Run Macroeconomics,Week-6,P-42 ,0.99,Pass
2606,a05ea65c777e48abdfc60668a2e01d404d745730,Quiz: Using the Spending Allocation Model,i4x://HumanitiesSciences/Econ-1/problem/85ab877f6d204350a306e4ae29d3c7ad,24714591,3/08/2014 10:09,3/09/2015 18:52,problem,Long Run Macroeconomics,Week-6,P-43,0.99,Pass
2607,a05ea65c777e48abdfc60668a2e01d404d745730,Quiz: Money and Inflation,i4x://HumanitiesSciences/Econ-1/problem/05d6ee2d583248e4b8862b031b180eb5,24714597,3/08/2014 10:09,3/09/2015 19:08,problem,Long Run Macroeconomics,Week-6,P-50 ,0.99,Pass
2608,a05ea65c777e48abdfc60668a2e01d404d745730,Multiple Choice,i4x://HumanitiesSciences/Econ-1/problem/65809637f78245d0aa17e0943899e2f9,25263268,11/08/2014 21:26,3/09/2015 19:03,problem,Macro Policy Issues,Week-8,P-66 ,0.99,Pass
2924,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: Public Goods (17A),i4x://HumanitiesSciences/Econ-1/video/5a83d41caa294fd18c5fd15dbd7d5d07,24691934,2/08/2014 22:05,21/04/2015 18:53,video,Key Economic Policy Issues,Week-4,L36,0.91,Pass
2925,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: Public Goods (17A),i4x://HumanitiesSciences/Econ-1/video/5a83d41caa294fd18c5fd15dbd7d5d07,24691934,2/08/2014 22:05,30/11/2015 3:26,video,Key Economic Policy Issues,Week-4,L36,0.91,Pass
2926,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: Tax Policy (16A),i4x://HumanitiesSciences/Econ-1/video/fdf2e47fd7ac4b9d997bd67e68bedce0,24688689,2/08/2014 20:45,25/03/2015 4:27,video,Key Economic Policy Issues,Week-4,L33,0.91,Pass
2927,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: Tax Policy (16A),i4x://HumanitiesSciences/Econ-1/video/fdf2e47fd7ac4b9d997bd67e68bedce0,24688689,2/08/2014 20:45,9/05/2015 0:30,video,Key Economic Policy Issues,Week-4,L33,0.91,Pass
2928,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: Tax Policy (16A),i4x://HumanitiesSciences/Econ-1/video/fdf2e47fd7ac4b9d997bd67e68bedce0,24688689,2/08/2014 20:45,5/12/2015 5:33,video,Key Economic Policy Issues,Week-4,L33,0.91,Pass
2929,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: Externalities (17B),i4x://HumanitiesSciences/Econ-1/video/dfaef134adc24a6f930bdbc2205242e1,46622958,21/04/2015 18:38,21/04/2015 21:07,video,Key Economic Policy Issues,Week-4,L37,0.91,Pass
2930,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: The Labor Demand Curve and the Behavior of Firms (14A),i4x://HumanitiesSciences/Econ-1/video/2f758d2cf0804387811aa19fcc1bb12e,24756064,4/08/2014 1:47,2/03/2015 4:37,video,Labor Markets,Week-4,L30,0.91,Pass
2931,a1b525d2a40b55a614ab3ce8b19cb30a289c9246,Lecture: The Labor Demand Curve and the Behavior of Firms (14A),i4x://HumanitiesSciences/Econ-1/video/2f758d2cf0804387811aa19fcc1bb12e,24756064,4/08/2014 1:47,4/10/2015 23:41,video,Labor Markets,Week-4,L30,0.91,Pass
2936,d54314283ee9a304297844c02ceefd459aad1337,Lecture: Marginal Benefit and Consumer Surplus,i4x://HumanitiesSciences/Econ-1/video/83ca9e8088db48cd95e2866a1b0474a4,26031195,23/08/2014 1:07,5/05/2015 17:21,video,The Competitive Equilibrium Model ,Week-2,L10,0.99,Pass
